Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.452519,0.462364,-0.194323,0.388818,0.449601,-0.463975,0.314123,0.10568,-0.493718,0.408835,-0.239266,-0.154882,0.110096,-0.446675,0.327265,0.0414143,0.135488,0.515498,-0.04887,0.101296,0.513883,-0.535144,0.221163,0.47036,-0.39217,0.413612,-0.361093,-0.0682491,0.269032,-0.339958,0.191538,-0.283274,0.191785,0.462134,-0.187018,-0.0102356,-0.382427,-0.443532,-0.186912,-0.115375,-0.194605,-0.317914,-0.15924,0.260314,-0.248256,0.0983958,0.230928,0.0385989,0.529476,0.221442;-11.7997,1.01784,-9.17644,0.26853
1;0.2243,0.588291,0.038804,0.810335,0.646152,-0.055324,0.392734,0.334993,-0.687169,0.698673,-0.330873,-0.351461,-0.0620022,-0.397577,0.341364,0.244297,0.455237,0.291956,0.065735,0.434373,0.798169,0.138964,0.346699,0.523793,0.0980201,0.545978,-0.224381,-0.0823878,0.0217974,-0.460358,0.338273,-0.615456,-0.380264,0.381611,-0.00423168,0.025072,-0.518369,-0.52636,-0.595873,0.175883,-0.401108,-0.331868,-0.565003,0.246443,-0.407662,0.269275,0.130712,0.0676161,0.46369,0.294924;-9.19721,-4.02763,-12.7752,-0.716742
2;0.208998,0.654346,0.286079,0.841762,0.487672,-0.406242,0.418993,0.200877,-0.73348,0.300146,-0.271902,-0.544051,-0.0350081,-0.0603488,0.322133,0.28775,0.291264,0.235952,0.0137685,0.40635,0.811368,0.598108,0.304316,0.220577,0.685144,0.375768,-0.489222,0.0823026,-0.0439207,-0.37749,0.407635,-0.714045,-0.654654,0.297099,-0.00503129,0.124924,-0.53366,-0.393084,-0.788382,0.0841641,-0.29313,-0.198622,-0.0617136,0.327592,-0.57627,0.326374,-0.00478218,-0.0673616,0.599997,0.163075;-7.56332,-8.33903,-15.6786,0.0612178
3;0.4207,0.688004,0.303471,0.786789,0.387232,-0.6012,0.303997,0.0729561,-0.670758,0.198562,-0.321751,-0.540414,0.194253,0.03946,0.359481,0.262884,-0.0194234,0.0217639,0.0131482,0.557091,0.770528,0.811596,0.389322,0.540293,0.766509,0.242071,-0.629776,0.157067,-0.163547,-0.365627,0.478717,-0.548504,-0.585067,0.377983,-0.334394,0.191088,-0.517295,-0.226987,-0.628401,-0.200864,-0.390204,-0.191536,-0.0968815,0.325801,-0.551816,0.395617,0.202648,-0.24661,0.507833,0.204995;-7.82855,-8.52738,-13.0235,3.23725
4;0.720286,0.501799,0.600743,0.659938,0.521065,-0.815118,0.461667,0.23238,-0.748452,0.735771,-0.608805,-0.735057,0.585861,-0.328596,0.701421,0.581549,-0.643673,0.141006,-0.0994816,0.786071,0.665483,0.685904,0.455173,0.85221,0.78376,-0.114621,-0.218788,0.541114,-0.116179,-0.790422,0.714681,-0.785218,-0.770041,0.654798,0.185544,-0.342389,-0.699821,-0.00231831,-0.842322,-0.360493,-0.172764,0.387174,0.106099,0.143713,-0.602066,0.390233,-0.168501,-0.277688,0.537509,0.0922948;-7.46774,-14.0624,-15.0367,-6.24836
5;0.622744,0.677396,0.549335,0.86311,0.325135,-0.769897,0.444507,0.24238,-0.574881,0.775368,-0.559564,-0.820136,0.486433,-0.467446,0.812203,0.315951,-0.644986,-0.224367,-0.106108,0.840388,0.78424,0.720004,0.434491,0.937669,0.828722,-0.074433,-0.566144,0.50694,-0.0418283,-0.814274,0.836163,-0.695684,-0.880782,0.654944,0.438474,-0.306731,-0.799174,-0.330254,-0.76755,-0.481915,-0.0675452,0.329016,0.0702339,0.0552551,-0.732592,0.220047,-0.271546,-0.122701,0.381438,0.355424;-7.2993,-16.6095,-14.7556,-6.4094
6;0.0636884,0.756845,0.237357,0.808043,-0.058026,-0.423753,0.440539,0.545034,-0.544716,0.919229,-0.499218,-0.719877,0.367207,-0.69221,0.812333,-0.158462,-0.799305,-0.171544,-0.185122,0.568823,0.947219,0.789753,0.688959,0.905742,0.90853,0.0542516,-0.85827,0.360748,0.192151,-0.898135,0.897617,-0.345667,-0.930826,0.438265,0.112932,-0.344073,-0.714588,-0.660252,-0.935377,-0.489154,0.358807,-0.0282171,0.443115,0.711152,-0.77857,0.372076,-0.0244908,-0.483466,0.774516,-0.03868;-8.63554,-13.2306,-10.8684,-7.71493
7;-0.213251,0.390137,-0.245439,0.801263,0.011367,-0.246757,-0.0901241,0.781542,-0.617451,0.736775,-0.745475,-0.66967,0.0140648,-0.477412,0.877474,0.203518,-0.830839,-0.401561,-0.281023,0.144252,0.945658,0.935616,0.51066,0.941193,0.768857,-0.498734,-0.687111,0.789394,0.0304382,-0.653441,0.586721,-0.239208,-0.884948,0.6804,-0.584939,-0.761799,-0.405543,-0.77058,-0.974706,-0.458215,-0.246533,0.200805,0.103555,0.884377,-0.722644,0.480622,-0.074329,-0.608723,0.877367,-0.637527;-4.4066,-11.0271,-5.82938,0.275551
8;0.0418094,0.0815217,-0.0380059,0.837453,-0.408967,0.0416246,-0.659784,0.725078,-0.100006,0.400486,-0.779033,-0.0302458,0.441101,-0.302607,0.961416,0.643298,-0.899219,-0.692376,-0.494073,0.656409,0.786245,0.969249,0.25757,0.95135,0.593101,-0.675071,-0.613677,0.902511,-0.183135,-0.573109,0.847998,-0.584553,-0.73961,0.686725,-0.377739,-0.893579,-0.644696,-0.146948,-0.992485,-0.614112,-0.491735,0.653543,0.347171,0.881589,-0.40538,0.911079,0.0254676,-0.384662,0.980848,-0.235205;1.62326,-8.26169,-1.44093,5.20797
9;0.161147,0.186105,-0.0160893,0.790349,-0.614571,0.000921678,-0.708676,0.778375,-0.0242476,0.353831,-0.769689,-0.229215,0.575149,-0.53115,0.957948,0.660493,-0.722834,-0.717,-0.376974,0.685175,0.808284,0.914192,0.156887,0.985742,0.650146,-0.680934,-0.626249,0.94375,-0.037998,-0.702257,0.887757,-0.499839,-0.743573,0.768976,-0.331741,-0.891508,-0.660081,-0.244885,-0.998198,-0.548254,-0.490401,0.69092,0.482541,0.816654,-0.505967,0.852404,0.171952,-0.44331,0.948669,-0.121267;3.04558,-7.03939,-3.18488,2.62304
