Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.134832,0.195673,-0.178698,0.38798,0.140457,-0.450028,-0.440626,0.288832,-0.514751,-0.202765,0.417844,-0.29434,-0.087096,0.45541,-0.308314,0.370033,-0.408718,0.217572,0.0343691,-0.38716,-0.196527,-0.423774,-0.298423,-0.331287,-0.191051,0.448258,-0.140177,0.142939,-0.265489,0.454466,0.448939,0.240576,0.378739,0.324417,-0.341469,-0.384671,0.386812,0.240854,0.478379,0.422769,-0.349869,0.385465,-0.205451,-0.13526,0.366857,-0.375984,0.226554,-0.432392,-0.0615731,0.0930581;-5.00168,-1.04959,1.23277,-0.373741
1;0.251851,0.362638,-0.25541,0.789425,-0.417317,-0.708613,-0.0930545,0.258206,-0.53515,0.00325215,0.510651,-0.364318,-0.0583052,0.567855,-0.632419,0.129943,-0.0381487,0.0631845,-0.629043,0.450437,-0.165935,0.659852,-0.0396023,0.324936,-0.266173,0.559798,-0.190131,-0.324573,-0.556716,0.668547,0.53039,0.651093,-0.04249,-0.456952,-0.461771,0.169745,0.410518,-0.68964,0.401081,0.40514,-0.53139,0.596269,-0.205451,-0.168083,0.181632,-0.91393,0.146657,-0.00304792,0.140365,-0.619533;-12.8679,4.00737,2.96263,0.328712
2;-0.496043,0.309336,-0.470536,0.655424,-0.397016,-0.253724,-0.00791581,0.224303,-0.854038,-0.341864,0.61329,-0.549727,-0.068001,0.96431,-0.8808,0.0636342,-0.288606,-0.0274175,0.0644912,-0.0258217,0.0415519,0.820869,-0.123522,0.348519,0.0897354,0.811708,-0.224006,-0.632617,-0.586413,-0.0258274,0.721136,0.644037,0.47177,-0.0247931,-0.459743,0.738936,-0.069869,-0.642097,0.59514,0.0325029,-0.43283,0.454321,-0.205451,-0.257299,-0.202711,-0.888944,-0.240873,0.223959,0.289253,0.112604;-10.6666,-1.27392,-0.758037,1.88621
3;-0.0175814,0.519338,-0.00739072,0.19704,-0.456292,-0.387729,0.00371478,0.282804,-0.883943,-0.532921,0.571048,-0.761746,0.679393,0.992121,-0.834547,0.499603,-0.160525,0.131354,0.243386,-0.107495,0.191385,0.520905,-0.326764,0.0505358,-0.26824,0.813142,-0.14256,-0.482644,-0.377501,0.119785,0.62551,0.569974,0.308997,-0.450388,-0.260944,0.0444667,0.290551,-0.644206,0.602638,0.544008,0.0410864,0.224658,-0.205451,-0.209296,-0.374409,-0.403952,0.11687,0.151114,0.312336,-0.145133;-8.66276,0.10653,0.0272827,2.13962
4;-0.408982,0.181484,-0.164559,0.346111,-0.414487,-0.433406,-0.189785,-0.0585224,-0.82682,-0.245901,0.449697,-0.55123,0.354203,0.960817,-0.741154,0.405312,-0.330947,0.0849139,0.547042,0.243649,-0.22389,-0.00281021,-0.262252,-0.268077,0.0366076,0.636828,-0.172998,-0.290562,-0.608093,-0.108471,0.535668,0.507012,0.431156,-0.412494,-0.484494,0.347458,0.427303,-0.720343,0.564769,0.317728,-0.272934,0.450745,-0.205451,0.0317165,0.257685,-0.686391,-0.0361757,0.225457,0.494208,-0.107948;-10.0805,-0.571499,0.190917,1.43688
5;-0.649214,0.462918,-0.639957,0.379292,-0.142365,-0.686217,-0.542102,0.488475,-0.840096,-0.621294,0.426136,-0.692734,0.193031,0.985402,-0.874695,0.00456495,-0.657594,0.436259,0.346521,-0.325628,-0.518388,0.0503289,-0.16068,0.0773696,-0.675512,0.897616,-0.27405,-0.701956,-0.735584,0.404322,0.596018,0.270527,0.590209,-0.461083,-0.49485,-0.174714,0.480107,-0.900735,0.213169,0.759043,-0.071162,-0.146095,-0.319265,-0.35361,-0.405501,-0.574877,-0.392798,0.569631,0.0692137,0.236911;-7.49309,-1.54444,0.917207,2.8319
6;-0.646336,0.414348,-0.609588,0.327998,-0.137507,-0.659473,0.0189121,0.515493,-0.960118,-0.611767,0.412941,-0.822921,0.625393,0.989402,-0.867444,-0.254429,-0.369662,0.361781,0.590478,-0.646156,-0.531192,0.413223,0.0910139,-0.460271,-0.0615905,0.834511,-0.214046,-0.733188,-0.63188,0.162908,0.777114,0.0714756,0.872638,-0.812366,-0.585803,-0.51771,0.593488,-0.955161,0.213673,0.896978,0.213407,0.113563,-0.319265,-0.182308,-0.0576268,-0.653641,-0.15195,0.386974,0.0198996,0.378255;-7.42478,-1.20381,0.887559,3.39583
7;-0.756278,0.611089,-0.0894196,-0.326186,-0.666638,-0.644266,0.261102,0.789072,-0.973749,0.0676875,0.668365,-0.72432,0.488703,0.967741,-0.744824,-0.551165,-0.614996,0.674986,0.561785,-0.808003,0.0830324,-0.159117,0.32522,-0.377401,-0.27213,0.699066,-0.379229,-0.828185,-0.439585,0.0249189,0.867909,-0.50247,0.970534,-0.773126,-0.82807,-0.377054,0.883137,-0.857851,-0.287914,0.956227,0.0155446,0.694067,0.120995,-0.295704,0.106122,-0.815933,0.254611,0.0300913,-0.0562011,0.0892801;-6.76247,-0.111571,-4.75177,3.43702
8;-0.426793,0.856179,0.305095,-0.637518,-0.928672,-0.0905632,0.0707635,0.867014,-0.914441,-0.26312,0.786462,0.0120048,0.278333,0.757801,-0.936039,-0.784911,-0.742733,0.734205,0.73738,-0.626395,0.428496,-0.362077,0.593678,-0.446639,0.15624,0.605376,-0.555488,-0.726659,-0.509077,0.35728,0.857611,-0.863152,0.757992,-0.64768,-0.946054,-0.427515,0.909955,-0.954571,-0.689691,0.84577,-0.76808,0.699658,-0.164439,-0.764121,-0.136443,-0.982697,-0.321791,-0.0610593,-0.416274,0.791525;-3.55241,0.613431,-7.9701,3.74553
9;-0.693784,0.913798,0.673993,-0.0525024,-0.802555,0.150529,-0.335114,0.670778,-0.9787,0.0436908,0.824569,-0.31026,-0.236831,0.910761,-0.741179,-0.854991,-0.764293,0.584875,0.71926,-0.242725,0.323215,-0.336916,0.404561,-0.687211,0.736576,0.293932,-0.25532,-0.257028,-0.4543,0.412529,0.919635,-0.932315,0.500214,-0.88807,-0.966314,-0.954837,0.754648,-0.925293,-0.607951,0.840627,-0.892505,0.718769,-0.479549,-0.776181,-0.711874,-0.99442,0.239473,0.0869061,-0.878553,0.855433;-2.28307,1.33275,-4.43249,2.03301
10;-0.814312,0.917488,0.519737,0.287091,-0.755644,0.325908,-0.571471,0.706748,-0.972635,0.639903,0.905122,-0.515351,-0.0490505,0.750893,-0.875962,-0.879638,-0.846234,0.637765,0.751236,-0.237058,-0.0423681,0.176578,0.449388,-0.807869,0.310947,-0.0306856,-0.563951,-0.163156,-0.0621711,0.480149,0.90953,-0.88941,0.373841,-0.82186,-0.964868,-0.803138,0.708491,-0.872282,-0.605768,0.905218,-0.854805,0.816978,-0.479549,-0.703838,-0.778827,-0.991393,0.145531,-0.162643,-0.814436,0.799347;-3.90417,1.70109,-1.18982,0.160771
11;-0.589531,0.796547,-0.13339,0.148273,-0.763288,0.467285,-0.424129,0.822885,-0.8446,0.262687,0.710479,-0.791964,-0.0449342,0.456081,-0.929336,-0.773592,-0.587077,0.68925,0.69443,-0.369555,0.163005,0.881262,0.503202,-0.622348,0.388688,0.600063,-0.669827,-0.386289,-0.609722,0.516643,0.673915,-0.609777,0.235332,-0.290841,-0.864772,-0.813227,0.572473,-0.844641,-0.205354,0.694088,-0.730254,0.43634,-0.549988,-0.640326,-0.440585,-0.992479,-0.231028,-0.0494844,-0.20636,0.9244;-4.29341,0.170824,-1.6599,0.654011
