Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;0
7;3
8;3
9;3
10;2
11;3
12;3
13;3
14;3
15;0
16;3
17;3
18;3
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;0
29;3
30;3
31;3
32;0
33;3
34;3
35;3
36;3
37;3
38;0
39;3
40;3
41;3
42;3
43;0
44;3
45;3
46;3
47;3
48;3
49;3
50;3
51;3
52;3
53;3
54;3
55;3
56;0
57;3
58;3
59;3
60;3
61;0
62;3
63;3
64;3
65;3
66;3
67;0
68;3
69;3
70;3
71;0
72;3
73;3
74;3
75;3
76;3
77;3
78;3
79;3
80;3
81;3
82;3
83;3
84;3
85;0
86;3
87;3
88;3
89;3
90;0
91;3
92;3
93;3
94;3
95;3
96;0
97;3
98;3
99;3
100;0
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;3
111;3
112;3
113;3
114;0
115;3
116;3
117;3
118;3
119;0
120;3
121;3
122;3
123;3
124;3
125;0
126;3
127;3
128;3
129;0
130;3
131;3
132;3
133;3
134;3
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;0
144;3
145;3
146;3
147;3
148;0
149;3
150;3
151;3
152;3
153;3
154;0
155;3
156;3
157;3
158;0
159;3
160;3
161;3
162;3
163;3
164;3
165;3
166;3
167;3
168;3
169;3
170;3
171;3
172;0
173;3
174;3
175;3
176;3
177;0
178;3
179;3
180;3
181;3
182;3
183;0
184;3
185;3
186;3
187;0
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;3
198;3
199;3
200;3
201;0
202;3
203;3
204;3
205;3
206;0
207;3
208;3
209;3
210;3
211;3
212;0
213;3
214;3
215;3
216;0
217;3
218;3
219;3
220;3
221;3
222;3
223;3
224;3
225;3
226;3
227;3
228;3
229;3
230;0
231;3
232;3
233;3
234;3
235;0
236;3
237;3
238;3
239;3
240;3
241;0
242;3
243;3
244;3
245;0
246;3
247;3
248;3
249;3
250;3
251;3
252;3
253;3
254;3
255;3
256;3
257;3
258;3
259;0
260;3
261;3
262;3
263;3
264;0
265;3
266;3
267;3
268;3
269;3
270;0
271;3
272;3
273;3
274;0
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;3
283;3
284;3
285;3
286;3
287;3
288;0
289;3
290;3
291;3
292;3
293;0
294;3
295;3
296;3
297;3
298;3
299;0
300;0
