Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;0
8;3
9;3
10;3
11;0
12;3
13;0
14;3
15;3
16;3
17;0
18;2
19;0
20;3
21;3
22;3
23;4
24;2
25;4
26;2
27;3
28;3
29;3
30;0
31;2
32;0
33;3
34;3
35;3
36;4
37;2
38;4
39;2
40;3
41;3
42;3
43;0
44;2
45;0
46;3
47;3
48;3
49;4
50;2
51;4
52;2
53;3
54;3
55;3
56;0
57;2
58;0
59;3
60;3
61;3
62;4
63;2
64;4
65;2
66;3
67;3
68;3
69;0
70;2
71;0
72;3
73;3
74;3
75;4
76;2
77;4
78;2
79;3
80;3
81;3
82;0
83;2
84;0
85;3
86;3
87;3
88;4
89;2
90;4
91;2
92;3
93;3
94;3
95;0
96;2
97;0
98;3
99;3
100;3
101;4
102;2
103;4
104;2
105;3
106;3
107;3
108;0
109;2
110;0
111;3
112;3
113;3
114;4
115;2
116;4
117;2
118;3
119;3
120;3
121;0
122;2
123;0
124;3
125;3
126;3
127;4
128;2
129;4
130;2
131;3
132;3
133;3
134;0
135;2
136;0
137;3
138;3
139;3
140;4
141;2
142;4
143;2
144;3
145;3
146;3
147;0
148;2
149;0
150;3
151;3
152;3
153;4
154;2
155;4
156;2
157;3
158;3
159;3
160;0
161;2
162;0
163;3
164;3
165;3
166;4
167;2
168;4
169;2
170;3
171;3
172;3
173;0
174;2
175;0
176;3
177;3
178;3
179;4
180;2
181;4
182;2
183;3
184;3
185;3
186;0
187;2
188;0
189;3
190;3
191;3
192;4
193;2
194;4
195;2
196;3
197;3
198;3
199;0
200;2
201;0
202;3
203;3
204;3
205;4
206;2
207;4
208;2
209;3
210;3
211;3
212;0
213;2
214;0
215;3
216;3
217;3
218;4
219;2
220;4
221;2
222;3
223;3
224;3
225;0
226;2
227;0
228;3
229;3
230;3
231;4
232;2
233;4
234;2
235;3
236;3
237;3
238;0
239;2
240;0
241;3
242;3
243;3
244;4
245;2
246;4
247;2
248;3
249;3
250;3
251;0
252;2
253;0
254;3
255;3
256;3
257;4
258;2
259;4
260;2
261;3
262;3
263;3
264;0
265;2
266;0
267;3
268;3
269;3
270;4
271;2
272;4
273;2
274;3
275;3
276;3
277;0
278;2
279;0
280;3
281;3
282;3
283;4
284;2
285;4
286;2
287;3
288;3
289;3
290;0
291;2
292;0
293;3
294;3
295;3
296;4
297;2
298;4
299;2
300;0
