Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;0
7;3
8;3
9;3
10;3
11;4
12;2
13;3
14;3
15;3
16;2
17;3
18;3
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;0
29;0
30;3
31;3
32;3
33;2
34;3
35;3
36;3
37;3
38;3
39;3
40;3
41;3
42;3
43;3
44;3
45;4
46;2
47;3
48;3
49;3
50;2
51;3
52;3
53;3
54;3
55;3
56;3
57;3
58;3
59;3
60;3
61;3
62;0
63;0
64;3
65;3
66;3
67;2
68;3
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;3
77;3
78;3
79;4
80;2
81;3
82;3
83;3
84;2
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;3
96;0
97;0
98;3
99;3
100;3
101;2
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;3
111;3
112;3
113;4
114;2
115;3
116;3
117;3
118;2
119;3
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;0
131;0
132;3
133;3
134;3
135;2
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;3
147;4
148;2
149;3
150;3
151;3
152;2
153;3
154;3
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;3
163;3
164;0
165;0
166;3
167;3
168;3
169;2
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;3
180;3
181;4
182;2
183;3
184;3
185;3
186;2
187;3
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;3
198;0
199;0
200;3
201;3
202;3
203;2
204;3
205;3
206;3
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;3
215;4
216;2
217;3
218;3
219;3
220;2
221;3
222;3
223;3
224;3
225;3
226;3
227;3
228;3
229;3
230;3
231;3
232;0
233;0
234;3
235;3
236;3
237;2
238;3
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;3
248;3
249;4
250;2
251;3
252;3
253;3
254;2
255;3
256;3
257;3
258;3
259;3
260;3
261;3
262;3
263;3
264;3
265;3
266;0
267;0
268;3
269;3
270;3
271;2
272;3
273;3
274;3
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;3
283;4
284;2
285;3
286;3
287;3
288;2
289;3
290;3
291;3
292;3
293;3
294;3
295;3
296;3
297;3
298;3
299;3
300;5.00096e-310
