Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;0
10;3
11;4
12;0
13;3
14;3
15;3
16;3
17;2
18;3
19;3
20;3
21;2
22;3
23;2
24;3
25;3
26;3
27;2
28;3
29;2
30;3
31;3
32;3
33;2
34;3
35;2
36;3
37;3
38;3
39;2
40;3
41;2
42;3
43;3
44;3
45;2
46;3
47;2
48;3
49;3
50;3
51;2
52;3
53;2
54;3
55;3
56;3
57;2
58;3
59;2
60;3
61;3
62;3
63;2
64;3
65;2
66;3
67;3
68;3
69;2
70;3
71;2
72;3
73;3
74;3
75;2
76;3
77;2
78;3
79;3
80;3
81;2
82;3
83;2
84;3
85;3
86;3
87;2
88;3
89;2
90;3
91;3
92;3
93;2
94;3
95;2
96;3
97;3
98;3
99;2
100;3
101;2
102;3
103;3
104;3
105;2
106;3
107;2
108;3
109;3
110;3
111;2
112;3
113;2
114;3
115;3
116;3
117;2
118;3
119;2
120;3
121;3
122;3
123;2
124;3
125;2
126;3
127;3
128;3
129;2
130;3
131;2
132;3
133;3
134;3
135;2
136;3
137;2
138;3
139;3
140;3
141;2
142;3
143;2
144;3
145;3
146;3
147;2
148;3
149;2
150;3
151;3
152;3
153;2
154;3
155;2
156;3
157;3
158;3
159;2
160;3
161;2
162;3
163;3
164;3
165;2
166;3
167;2
168;3
169;3
170;3
171;2
172;3
173;2
174;3
175;3
176;3
177;2
178;3
179;2
180;3
181;3
182;3
183;2
184;3
185;2
186;3
187;3
188;3
189;2
190;3
191;2
192;3
193;3
194;3
195;2
196;3
197;2
198;3
199;3
200;3
201;2
202;3
203;2
204;3
205;3
206;3
207;2
208;3
209;2
210;3
211;3
212;3
213;2
214;3
215;2
216;3
217;3
218;3
219;2
220;3
221;2
222;3
223;3
224;3
225;2
226;3
227;2
228;3
229;3
230;3
231;2
232;3
233;2
234;3
235;3
236;3
237;2
238;3
239;2
240;3
241;3
242;3
243;2
244;3
245;2
246;3
247;3
248;3
249;2
250;3
251;2
252;3
253;3
254;3
255;2
256;3
257;2
258;3
259;3
260;3
261;2
262;3
263;2
264;3
265;3
266;3
267;2
268;3
269;2
270;3
271;3
272;3
273;2
274;3
275;2
276;3
277;3
278;3
279;2
280;3
281;2
282;3
283;3
284;3
285;2
286;3
287;2
288;3
289;3
290;3
291;2
292;3
293;2
294;3
295;3
296;3
297;2
298;3
299;2
300;0
